Rent,Deposit,DoB,Meterage,FloorNum,Area,District,NoB,Elevator,Parking,Storage,Balcony,link
45000000,500000000,1400,170,1,گلسار,1,3,1,1,1,1,https://divar.ir/v/%DB%B1%DB%B7%DB%B0-%D9%85%D8%AA%D8%B1-%D8%AA%DA%A9-%D9%88%D8%A7%D8%AD%D8%AF-%D8%AF%D8%B1-%DA%AF%D9%84%D8%B3%D8%A7%D8%B1-%D9%81%D9%88%D9%84-%D8%A8%D8%A7-%D9%85%D8%B3%D8%AA%D8%B1-%D9%85%D8%B7%D8%A8%D8%AE-%D9%84%D8%A7%D9%86%D8%AF%D8%B1%DB%8C/AaHAmxzO
12000000,700000000,1399,105,3,گلسار,1,2,1,1,1,0,https://divar.ir/v/%D8%A7%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-105%D9%85%D8%AA%D8%B1%DB%8C-%DA%AF%D9%84%D8%B3%D8%A7%D8%B1-%D8%AF%DB%8C%D9%84%D9%85%D8%A7%D9%86-%D8%A7%D8%A8%D9%88%D8%A7%D9%84%D9%82%D8%A7%D8%B3%D9%85%DB%8C-%DA%AF%D9%84%D9%81%D8%A7%D9%85/AaH0qCza
7000000,500000000,1397,90,2,گلسار,1,2,0,1,1,0,https://divar.ir/v/%D8%A7%D8%AC%D8%A7%D8%B1%D9%87-%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B9%DB%B0%D9%85%D8%AA%D8%B1-%DB%B2%D8%AE%D9%88%D8%A7%D8%A8-%D8%A8%D9%88%D8%B3%D8%AA%D8%A7%D9%86-%D9%85%D9%84%D8%AA/AaX8YaWS
15000000,500000000,1392,95,2,گلسار,1,2,0,1,1,0,https://divar.ir/v/%D8%A7%D8%AC%D8%A7%D8%B1%D9%87-%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B9%DB%B5-%D9%85%D8%AA%D8%B1%DB%8C-%DB%B2-%D8%AE%D9%88%D8%A7%D8%A8%D9%87-%D8%B7%D8%A8%D9%82%D9%87-%DB%B2-%D8%AF%D8%B1-%DA%AF%D9%84%D8%B3%D8%A7%D8%B1/AaXYYQai
4500000,150000000,1402,75,1,لاکانی,1,2,0,0,1,0,https://divar.ir/v/%D8%A7%D8%AC%D8%A7%D8%B1%D9%87-%D8%AE%D8%A7%D9%86%D9%87-%D9%88%DB%8C%D9%84%D8%A7%DB%8C%DB%8C-%DB%B7%DB%B5-%D9%85%D8%AA%D8%B1%DB%8C-%DB%B2-%D8%AE%D9%88%D8%A7%D8%A8%D9%87-%D8%AF%D8%B1-%D9%84%D8%A7%DA%A9%D8%A7%D9%86-%D8%B4%D9%87%D8%B1/Aahot_fL
15000000,150000000,1370,180,1,لاکانی,1,2,0,1,1,1,https://gilan-amlak.com/property/%D8%B1%D9%87%D9%86-%D9%88%DB%8C%D9%84%D8%A7%DB%8C%DB%8C-180-%D9%85%D8%AA%D8%B1%DB%8C-%D9%82%D8%A7%D8%A8%D9%84-%D8%B3%DA%A9%D9%88%D9%86%D8%AA-%D8%A8%D9%84%D9%88%D8%A7%D8%B1-%D9%84%D8%A7%DA%A9%D8%A7%D9%86%DB%8C
6500000,200000000,1397,75,2,مسکن مهر,5,2,1,0,1,1,https://divar.ir/v/%D8%A7%D8%AC%D8%A7%D8%B1%D9%87-%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B7%DB%B5-%D9%85%D8%AA%D8%B1%DB%8C-%DB%B2-%D8%AE%D9%88%D8%A7%D8%A8%D9%87-%D8%AF%D8%B1-%D9%85%D8%B3%DA%A9%D9%86-%D9%85%D9%87%D8%B1-%D9%81%D8%A7%D8%B2-%DB%B1/wZ_DdPQk
8000000,150000000,1397,78,1,مسکن مهر,5,2,1,1,1,1,https://divar.ir/v/%D8%A7%D8%AC%D8%A7%D8%B1%D9%87-%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B7%DB%B8-%D9%85%D8%AA%D8%B1%DB%8C-%DB%B2-%D8%AE%D9%88%D8%A7%D8%A8%D9%87-%D9%88%D8%A7%D9%82%D8%B9-%D8%AF%D8%B1%D9%85%D8%B3%DA%A9%D9%86-%D9%85%D9%87%D8%B1/AaHsrB62
8000000,220000000,1401,78,3,مسکن مهر,5,2,1,1,1,1,https://divar.ir/v/%D8%A7%D8%AC%D8%A7%D8%B1%D9%87-%D9%88%D8%A7%D8%AD%D8%AF-%D9%85%D8%B3%DA%A9%D9%86-%D9%85%D9%87%D8%B1-%D9%85%DB%8C%D8%AF%D8%A7%D9%86-%D8%AF%D9%88%D9%85-%D8%A8%D8%B1%D8%AE%DB%8C%D8%A7%D8%A8%D8%A7%D9%86/AaHcLK-R
4500000,300000000,1390,75,3,معلم,3,2,0,1,1,0,https://divar.ir/v/%D8%A7%D8%AC%D8%A7%D8%B1%D9%87-%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%D9%85%D8%B9%D9%84%D9%85-%D8%B9%D9%84%DB%8C-%D8%A2%D8%A8%D8%A7%D8%AF/AaFY_REY
4500000,300000000,1390,75,3,معلم,3,2,0,1,1,0,https://divar.ir/v/%D8%A7%D8%AC%D8%A7%D8%B1%D9%87-%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%D9%85%D8%B9%D9%84%D9%85-%D8%B9%D9%84%DB%8C-%D8%A2%D8%A8%D8%A7%D8%AF/AaFY_REY
7500000,650000000,1400,105,4,معلم,3,2,1,1,1,0,https://divar.ir/v/%DB%B1%DB%B0%DB%B5-%D9%85%D8%AA%D8%B1-%D9%85%D8%B3%DA%A9%D9%88%D9%86%DB%8C-%D9%81%D9%88%D9%84-%D8%A7%D9%85%DA%A9%D8%A7%D9%86%D8%A7%D8%AA-%D9%85%D8%B9%D9%84%D9%85/wZiXXMJ6
13000000,200000000,1396,80,4,معلم,3,2,0,0,1,0,https://divar.ir/v/%D8%A7%D8%AC%D8%A7%D8%B1%D9%87-%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%D8%B4%DB%8C%DA%A9-%D9%88%D8%AA%D9%85%DB%8C%D8%B2-%D8%AF%D8%B1-%D9%85%D8%B9%D9%84%D9%85/AaHspSHo
12000000,300000000,1393,85,4,معلم,3,2,1,1,1,1,https://divar.ir/v/%D8%A7%D8%AC%D8%A7%D8%B1%D9%87-%D9%88%D8%A7%D8%AD%D8%AF-85%D9%85%D8%AA%D8%B1%DB%8C-2%D8%AE%D9%88%D8%A7%D8%A8-%D8%AF%D8%B1-%D8%B3%D8%B1%DA%AF%D9%84-%D8%AE-%D8%B1%D8%B3%D9%88%D9%84-%D8%B2%D8%A7%D8%AF%D9%87/AaHMb1Pw
5000000,250000000,1389,75,3,معلم,3,2,0,1,1,0,https://mrestate.ir/s/IBbTj
11500000,200000000,1394,70,2,معلم,3,2,0,1,1,0,https://divar.ir/v/%D8%A7%D8%AC%D8%A7%D8%B1%D9%87-%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%D8%AF%D8%B1-%D9%85%D8%B9%D9%84%D9%85-%D9%81%D9%84%D8%A7%D8%AD%D8%AA%DB%8C/wZ_Hr2Hi
10000000,300000000,1390,90,2,معلم,3,2,0,1,1,0,https://divar.ir/v/%D8%A7%D8%AC%D8%A7%D8%B1%D9%87-%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B9%DB%B0-%D9%85%D8%AA%D8%B1%DB%8C-%DB%B2-%D8%AE%D9%88%D8%A7%D8%A8%D9%87-%D8%B7%D8%A8%D9%82%D9%87-%DB%B2-%D8%AF%D8%B1-%D9%85%D8%B9%D9%84%D9%85/AaPMk5kW
12000000,400000000,1401,107,1,منظریه,1,2,1,1,1,0,https://divar.ir/v/%D8%A7%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%D8%B3%D9%87-%D8%B7%D8%A8%D9%82%D9%87-%DB%B3%D9%88%D8%A7%D8%AD%D8%AF-%D8%B7%D8%A8%D9%82%D9%87-%D8%A7%D9%88%D9%84/AaHkqVGE
30000000,2000000000,1395,220,4,منظریه,1,3,1,0,1,1,.https://gilan-amlak.com/property/%D8%B1%D9%87%D9%86-%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-220-%D9%85%D8%AA%D8%B1%DB%8C-%D9%81%D9%88%D9%84-%D8%A7%D9%85%DA%A9%D8%A7%D9%86%D8%A7%D8%AA--%D9%85%D9%86%D8%B8%D8%B1%DB%8C%D9%87
2000000,200000000,1390,40,1,نامجو,2,1,0,0,1,0,https://divar.ir/v/%D8%B3%D9%88%DB%8C%DB%8C%D8%AA-%DB%B4%DB%B0-%D9%85%D8%AA%D8%B1%DB%8C-%D8%A8%D9%84%D9%88%D8%A7%D8%B1-%D9%84%D8%A7%DA%A9%D8%A7%D9%86-%DA%A9%D9%88%DA%86%D9%87-%D8%B4%D9%87%DB%8C%D8%AF-%D8%B1%D8%AC%D8%A7%DB%8C%DB%8C/AaH8Kono
5500000,400000000,1392,75,2,نیروی دریایی,4,2,0,1,1,0,https://divar.ir/v/%D8%A7%D8%AC%D8%A7%D8%B1%D9%87-%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%D9%84%D9%88%DA%A9%D8%B3-%D9%88-%D9%85%D9%86%D8%A7%D8%B3%D8%A8-%D8%AF%D8%B1-%D9%86%DB%8C%D8%B1%D9%88%DB%8C-%D8%AF%D8%B1%DB%8C%D8%A7%DB%8C%DB%8C/AaHM3UeM
4000000,300000000,1400,200,1,4,4,2,0,0,1,1,
5900000,250000000,1399,80,2,یخ سازی,4,2,0,1,1,1,https://divar.ir/v/%D8%A7%D8%AC%D8%A7%D8%B1%D9%87-%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B8%DB%B0-%D9%85%D8%AA%D8%B1%DB%8C-%DB%B2-%D8%AE%D9%88%D8%A7%D8%A8%D9%87-%D8%B7%D8%A8%D9%82%D9%87-%DB%B2-%D8%AF%D8%B1-%DB%8C%D8%AE%D8%B3%D8%A7%D8%B2%DB%8C/AaFce1uT
8000000,250000000,1386,136,1,یخ سازی,4,3,0,1,1,0,https://divar.ir/v/%D8%A7%D8%AC%D8%A7%D8%B1%D9%87-%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B1%DB%B3%DB%B6-%D9%85%D8%AA%D8%B1%DB%8C-%DB%B3-%D8%AE%D9%88%D8%A7%D8%A8%D9%87-%D8%B7%D8%A8%D9%82%D9%87-%DB%B1-%D8%AF%D8%B1-%DB%8C%D8%AE%D8%B3%D8%A7%D8%B2%DB%8C/AaFcOVtG
12000000,150000000,1403,130,1,یخ سازی,4,2,0,1,1,0,https://divar.ir/v/%D9%88%D8%A7%D8%AD%D8%AF-130%D9%85%D8%AA%D8%B1%DB%8C-%D9%87%D9%85%DA%A9%D9%81-%D8%A8%D8%B1%D8%AE%DB%8C%D8%A7%D8%A8%D9%88%D9%86-%D9%BE%D8%A7%D8%B1%DA%A9%DB%8C%D9%86%DA%AF-%DA%A9%D9%88%D9%84%D8%B1-%D8%AF%D8%A7%D8%B1%D9%87/wZzbbZF9
7000000,300000000,1383,80,2,یخ سازی,4,2,0,1,1,0,https://divar.ir/v/%D8%A7%D8%AC%D8%A7%D8%B1%D9%87-%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B8%DB%B0-%D9%85%D8%AA%D8%B1%DB%8C-%DB%B2-%D8%AE%D9%88%D8%A7%D8%A8%D9%87-%D8%B7%D8%A8%D9%82%D9%87-%DB%B2-%D8%AF%D8%B1-%DB%8C%D8%AE%D8%B3%D8%A7%D8%B2%DB%8C/AaHoI7jq
7000000,300000000,1383,80,2,یخ سازی,4,2,0,1,1,0,https://divar.ir/v/%D8%A7%D8%AC%D8%A7%D8%B1%D9%87-%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B8%DB%B0-%D9%85%D8%AA%D8%B1%DB%8C-%DB%B2-%D8%AE%D9%88%D8%A7%D8%A8%D9%87-%D8%B7%D8%A8%D9%82%D9%87-%DB%B2-%D8%AF%D8%B1-%DB%8C%D8%AE%D8%B3%D8%A7%D8%B2%DB%8C/AaHoI7jq
5500000,200000000,1392,55,1,یخ سازی,4,1,1,0,1,0,https://divar.ir/v/%D8%A7%D8%AC%D8%A7%D8%B1%D9%87-%D8%B3%D9%88%DB%8C%DB%8C%D8%AA-%D9%85%D8%B3%D8%AA%D9%82%D9%84-%D8%B3%D9%85%D8%AA-%D8%B1%D8%B4%D8%AA%DB%8C%D8%A7%D9%86/wZzbsE0-
1500000,250000000,1392,55,1,یخ سازی,4,1,0,1,0,1,https://divar.ir/v/%D8%A7%D8%AC%D8%A7%D8%B1%D9%87-%D8%B3%D9%88%D8%A6%DB%8C%D8%AA-%DB%B5%DB%B5-%D9%85%D8%AA%D8%B1%DB%8C-%DB%8C%D8%AE%D8%B3%D8%A7%D8%B2%DB%8C-%DA%A9%D9%88%DA%86%D9%87-%D9%87%D8%AC%D8%AF%D9%87%D9%85/AaXcoqQY
10000000,450000000,1400,83,4,گلسار,1,2,1,1,1,1,https://divar.ir/v/%D8%A7%D8%AC%D8%A7%D8%B1%D9%87-%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B8%DB%B3-%D9%85%D8%AA%D8%B1%DB%8C-%DB%B2-%D8%AE%D9%88%D8%A7%D8%A8%D9%87-%D8%AF%D8%B1-%DA%AF%D9%84%D8%B3%D8%A7%D8%B1-%D9%88%D8%B5%D8%A7%D9%84/AahcxxVE
3000000,60000000,1395,55,1,عینک,4,1,0,1,1,0,https://divar.ir/v/%D8%A7%D8%AC%D8%A7%D8%B1%D9%87-%D8%AE%D8%A7%D9%86%D9%87-%D9%88%DB%8C%D9%84%D8%A7%DB%8C%DB%8C-%DB%B5%DB%B5-%D9%85%D8%AA%D8%B1%DB%8C-%DB%B1-%D8%AE%D9%88%D8%A7%D8%A8%D9%87-%D8%AF%D8%B1-%D8%B9%DB%8C%D9%86%DA%A9/AalQh9WW
16000000,500000000,1404,105,3,گلسار,1,2,1,1,1,1,https://divar.ir/v/%D8%A7%D8%AC%D8%A7%D8%B1%D9%87-%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B1%DB%B0%DB%B5-%D9%85%D8%AA%D8%B1%DB%8C-%DB%B2-%D8%AE%D9%88%D8%A7%D8%A8%D9%87-%D9%86%D9%88%D8%B3%D8%A7%D8%B2-%D9%81%D9%88%D9%84-%D8%AF%D8%B1-%D8%A8%D9%88%D8%B3%D8%A7%D8%B1/AaSczgTB
10000000,200000000,1388,120,1,کوی فکوری,4,2,0,1,1,0,https://divar.ir/v/%D9%88%D8%A7%D8%AD%D8%AF-%D9%85%D8%B3%D8%AA%D9%82%D9%84-%D9%88%DB%8C%D9%84%D8%A7%DB%8C%DB%8C-%DB%B1%DB%B2%DB%B0-%D9%85%D8%AA%D8%B1-%D9%BE%D8%A7%D8%B1%DA%A9%DB%8C%D9%86%DA%AF-%D8%AA%D9%88%D8%B4%DB%8C%D8%A8%D8%A7/wZ-3FCvE
4000000,120000000,1398,55,1,آزادی,2,1,0,0,0,0,https://divar.ir/v/%D8%A7%D8%AC%D8%A7%D8%B1%D9%87-%D8%B7%D8%A8%D9%82%D9%87-%D8%A8%D8%A7%D9%84%D8%A7-%DB%B5%DB%B5-%D9%85%D8%AA%D8%B1%DB%8C-%DB%B1-%D8%AE%D9%88%D8%A7%D8%A8%D9%87-%D8%AD%D9%85%DB%8C%D8%AF%DB%8C%D8%A7%D9%86-%D8%AE-%DA%AF%D9%84%D8%B3%D8%AA%D8%A7%D9%86/AarA2NsX
3000000,270000000,1392,85,2,نیروی دریایی,4,2,0,0,0,0,https://divar.ir/v/%D8%A7%D8%AC%D8%A7%D8%B1%D9%87-%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B8%DB%B5-%D9%85%D8%AA%D8%B1%DB%8C-%DB%B2-%D8%AE%D9%88%D8%A7%D8%A8%D9%87-%D8%B7%D8%A8%D9%82%D9%87-%D9%86%DB%8C%D8%B1%D9%88%DB%8C-%D8%AF%D8%B1%DB%8C%D8%A7%DB%8C%DB%8C/Aar4FxcF
5000000,200000000,1396,75,3,کوی مهر,5,2,0,1,1,0,https://divar.ir/v/%D8%A7%D8%AC%D8%A7%D8%B1%D9%87-%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B7%DB%B5-%D9%85%D8%AA%D8%B1-%D9%85%D8%B3%DA%A9%D9%86-%D9%85%D9%87%D8%B1/AarYFmpn
12000000,500000000,1402,85,4,گلسار,1,2,1,1,1,1,https://divar.ir/v/%D8%B1%D9%87%D9%86-%D9%88-%D8%A7%D8%AC%D8%A7%D8%B1%D9%87-%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-85-%D9%85%D8%AA%D8%B1%DB%8C-%D8%B1%D8%B4%D8%AA-%DA%AF%D9%84%D8%B3%D8%A7%D8%B1/AarkF6bQ
1500000,250000000,1392,55,1,یخ سازی,4,1,0,1,0,0,https://divar.ir/v/%D8%A7%D8%AC%D8%A7%D8%B1%D9%87-%D8%B3%D9%88%D8%A6%DB%8C%D8%AA-%DB%B5%DB%B5-%D9%85%D8%AA%D8%B1%DB%8C-%DB%8C%D8%AE%D8%B3%D8%A7%D8%B2%DB%8C-%DA%A9%D9%88%DA%86%D9%87-%D9%87%D8%AC%D8%AF%D9%87%D9%85/AaXcoqQY
6000000,520000000,1390,100,3,گلسار,1,2,0,1,1,0,https://divar.ir/v/%D8%A7%D8%AC%D8%A7%D8%B1%D9%87-%D8%A2%D9%BE%D8%A7%D8%B1%D8%AA%D9%85%D8%A7%D9%86-%DB%B1%DB%B0%DB%B0-%D9%85%D8%AA%D8%B1%DB%8C-%DB%B2-%D8%AE%D9%88%D8%A7%D8%A8%D9%87-%D8%B7%D8%A8%D9%82%D9%87-%DB%B3-%D8%AF%D8%B1-%DA%AF%D9%84%D8%B3%D8%A7%D8%B1/Aarg1Po6